x,y,time
758.153,385.872,844678329847
751.436,376.645,844678360344
744.781,369.54,844678390143
739.301,364.419,844678420737
736.091,359.124,844678450633
733.625,355.059,844678480440
723.758,354.643,844678510938
714.455,354.574,844678540851
707.196,354.411,844678571446
701.676,354.306,844678601438
697.245,353.855,844678631591
699.327,355.1,844678661647
720.035,365.301,844678691905
778.483,393.186,844678722251
840.706,422.082,844678752482
887.551,445.305,844678782828
916.341,460.024,844678813096
936.451,470.046,844678843153
947.357,475.168,844678873480
955.189,479.388,844678903633
961.003,482.988,844678933910
964.41,486.467,844678964256
965.743,489.182,844678994312
965.932,490.381,844679024552
966.01,486.41,844679054714
966.641,479.919,844679084770
967.127,474.333,844679114923
967.65,468.693,844679145076
967.365,463.088,844679175335
967.729,458.099,844679205681
967.385,454.991,844679235727
967.073,452.974,844679266064
967.642,451.544,844679296323
966.45,443.924,844679326476
965.284,433.832,844679356550
964.216,424.569,844679386896
963.004,416.713,844679417146
961.562,410.477,844679447280
959.754,406.964,844679477337
959.793,405.332,844679507683
959.481,404.751,844679537738
959.255,403.808,844679568093
959.465,401.628,844679598150
959.542,400.033,844679628496
951.827,430.5,844679658552
936.38,517.29,844679688898
926.849,590.164,844679719262
916.999,634.527,844679749626
911.744,658.6,844679779876
907.607,672.03,844679810117
904.14,676.467,844679840463
905.006,679.736,844679870616
907.643,683.795,844679900855
908.866,686.588,844679931017
910.344,688.957,844679961267
885.071,692.796,844679991411
836.067,696.944,844680021564
792.491,700.619,844680051716
759.748,702.798,844680082053
734.153,704.919,844680112100
718.877,705.388,844680142349
710.066,705.846,844680172511
704.714,706.861,844680202568
698.162,707.37,844680232914
691.05,708.129,844680263094
686.066,708.878,844680293440
679.688,710.043,844680323496
683.31,719.712,844680353842
686.998,729.375,844680384092
689.649,736.981,844680414147
692.51,744.488,844680444493
695.483,751.053,844680474839
698.277,755.248,844680504905
699.614,757.618,844680535251
700.24,760.42,844680565501
700.048,762.925,844680595538
700.239,764.52,844680625673
701.399,766.209,844680655941
701.419,767.679,844680686093
701.815,768.291,844680716439
699.911,769.698,844680746688
698.591,770.325,844680776841
698.193,771.517,844680806898
697.45,773.625,844680837148
697.126,774.479,844680867300
697.063,775.37,844680897646
696.699,776.322,844680927895
696.262,776.939,844680958048
708.146,779.85,844680988307
738.39,785.635,844681018556
773.591,793.457,844681048708
805.872,799.238,844681078958
829.289,804.056,844681109304
847.581,805.319,844681139554
869.769,801.115,844681169707
885.174,799.171,844681199956
896.349,798.535,844681230099
902.598,796.722,844681260349
907.799,795.59,844681290502
910.311,794.816,844681320797
910.967,794.344,844681351046
912.82,793.763,844681381199
914.599,793.355,844681411256
917.705,790.407,844681441602
920.683,787.664,844681471676
924.286,784.831,844681501723
928.151,782.378,844681532069
906.876,781.127,844681562318
852.376,779.322,844681592471
786.3,776.044,844681622633
731.719,772.802,844681652786
693.577,770.854,844681682938
667.678,769.156,844681713091
656.635,768.12,844681743419
651.668,767.1,844681773669
652.177,765.329,844681803744
653.689,764.271,844681833956
654.733,763.752,844681864109
654.956,762.814,844681894473
654.616,762.706,844681924539
655.149,762.458,844681954885
655.568,762.242,844681984940
655.872,762.504,844682015286
656.047,762.608,844682045343
656.616,762.593,844682075689
656.454,762.804,844682105746
656.205,762.927,844682136073
656.184,762.717,844682166322
656.221,762.587,844682196475
656.126,762.818,844682226743
655.736,695.008,844682256896
663.519,553.855,844682286951
669.534,456.035,844682316980
671.525,407.454,844682347230
676.099,383.773,844682377286
676.444,374.378,844682407650
676.739,369.801,844682437707
670.793,362.528,844682467841
662.714,305.03,844682498187
660.708,261.592,844682528303
659.791,236.03,844682558543
660.051,221.568,844682588898
656.247,214.032,844682618954
654.786,208.238,844682649002
661.667,194.324,844682679329
674.444,165.923,844682709413
681.178,145.349,844682739759
686.129,130.235,844682769797
688.579,119.678,844682800143
690.393,112.733,844682830199
692.743,108.598,844682860563
694.584,106.372,844682890716
696.216,104.462,844682920966
696.098,102.792,844682951118
696.121,101.988,844682981350
696.466,101.317,844683011714
696.788,101.495,844683041867
696.976,101.522,844683072116
696.879,101.284,844683102163
697.11,100.76,844683132518
697.063,100.44,844683162592
678.667,165.552,844683192920
651.718,331.818,844683223018
636.102,451.784,844683253382
632.108,512.78,844683283719
631.09,537.169,844683313987
632.699,549.484,844683344130
635.599,554.608,844683374477
636.552,557.135,844683404533
635.393,557.583,844683434782
635.865,559.03,844683464935
632.279,581.856,844683495281
635.48,628.593,844683525512
642.27,665.181,844683555876
648.149,689.209,844683585932
649.481,706.503,844683616269
649.729,718.033,844683646422
650.852,723.117,844683676672
653.415,738.294,844683706824
661.679,748.237,844683737074
666.585,754.934,844683767420
668.159,761.554,844683797494
668.729,767.223,844683827840
669.952,770.767,844683858186
669.114,771.753,844683888445
667.947,771.895,844683918589
668.447,772.586,844683948654
669.67,773.875,844683979000
666.676,774.498,844684009249
664.422,774.787,844684039402
662.863,775.179,844684069459
661.863,775.353,844684099805
661.643,775.701,844684129842
660.859,776.839,844684160188
659.716,778.353,844684190447
658.926,779.88,844684220600
658.753,780.295,844684250753
657.935,780.326,844684281020
657.136,780.76,844684311163
657.248,780.16,844684341202
656.958,779.415,844684371547
657.042,779.187,844684401797
656.588,778.665,844684431950
656.456,778.081,844684462006
656.505,777.759,844684492352
656.507,776.797,844684522679
655.861,775.635,844684552736
655.635,774.514,844684582791
655.854,773.247,844684613137
655.518,771.713,844684643378
654.886,770.168,844684673531
654.207,768.754,844684703684
653.471,767.204,844684733933
654.333,766.185,844684763989
655.374,765.481,844684794335
655.625,764.869,844684824663
656.215,764.273,844684854913
656.464,764.359,844684885065
656.332,764.532,844684915314
656.215,764.845,844684945467
656.214,764.932,844684975813
656.101,764.852,844685005870
656.167,764.952,844685035926
656.09,765.127,844685066263
656.084,765.168,844685096319
656.227,765.155,844685126568
655.999,765.039,844685156924
655.854,764.788,844685187076
655.729,764.865,844685217229
655.531,765.109,844685247478
655.364,765.281,844685277631
655.189,765.398,844685307880
655.027,765.674,844685338226
655.238,764.814,844685368283
655.654,763.383,844685398339
655.814,761.807,844685428685
655.386,759.999,844685459040
655.132,757.971,844685489290
655.555,756.041,844685519345
655.913,754.302,844685549498
654.002,748.848,844685579835
651.194,734.41,844685609901
650.303,720.313,844685640151
647.78,708.88,844685670303
645.777,701.87,844685700552
644.764,695.194,844685730705
642.783,690.166,844685760955
641.785,687.126,844685791319
640.381,684.618,844685821375
640.022,680.883,844685851431
654.965,651.687,844685881768
671.318,619.089,844685911825
684.295,594.057,844685941978
694.289,578.286,844685972226
696.924,568.538,844686002379
719.158,550.779,844686032620
736.986,533.68,844686062782
749.172,522.424,844686093021
757.99,515.258,844686123367
763.9,510.813,844686153424
766.333,506.268,844686183770
764.894,504.309,844686213827
765.02,503.0,844686244172
766.238,503.931,844686274228
766.324,507.903,844686304381
766.846,510.702,844686334727
767.339,512.528,844686364977
768.208,514.32,844686395314
769.557,516.809,844686425369
770.327,519.128,844686455628
771.084,521.226,844686485781
771.769,523.148,844686515934
771.997,525.239,844686546183
772.488,526.601,844686576336
772.675,528.136,844686606585
773.503,531.866,844686636913
774.989,536.801,844686666988
775.87,540.968,844686697334
776.573,544.634,844686727583
777.487,547.549,844686757735
778.136,549.769,844686787792
778.136,551.942,844686818119
778.423,553.639,844686848369
777.984,554.727,844686878522
778.063,555.483,844686908578
778.554,556.2,844686938749
778.359,556.656,844686969067
764.836,549.984,844686999326
737.149,532.191,844687029461
704.958,511.326,844687059595
677.569,493.367,844687089651
660.616,480.053,844687119997
650.044,470.68,844687150053
641.399,464.457,844687180399
633.39,461.486,844687210649
628.139,460.411,844687240783
627.604,459.463,844687271032
627.034,459.306,844687301378
626.001,458.969,844687331435
620.832,443.163,844687361588
612.629,427.407,844687391855
607.241,414.133,844687422008
604.666,403.472,844687452258
602.589,396.227,844687482410
600.361,391.878,844687512660
597.605,388.12,844687542813
597.546,383.478,844687573062
609.167,382.447,844687603205
664.011,390.644,844687633455
743.87,402.632,844687663746
817.542,414.665,844687693985
868.595,422.408,844687724332
898.7,426.847,844687754388
917.815,430.819,844687784743
929.675,432.965,844687814993
934.433,435.261,844687845146
939.895,430.624,844687875395
943.805,425.77,844687905548
946.171,422.648,844687935623
948.016,420.978,844687965968
949.716,419.321,844687996217
950.53,417.843,844688026370
951.342,416.416,844688056620
951.664,415.544,844688086773
951.81,414.98,844688117119
951.812,414.34,844688147175
950.888,413.093,844688177310
950.636,410.911,844688207365
950.596,408.438,844688237615
950.078,406.913,844688267961
949.837,405.438,844688298017
949.48,404.146,844688328363
948.813,403.041,844688358709
948.406,402.424,844688388765
948.42,400.767,844688418822
947.555,399.043,844688449168
947.527,398.089,844688479514
948.471,397.547,844688509560
948.854,396.767,844688539916
948.639,395.706,844688570184
948.082,395.366,844688600318
948.356,395.224,844688630374
950.057,400.829,844688660720
953.698,412.346,844688691066
958.042,426.342,844688721306
961.816,438.869,844688751652
965.192,448.167,844688781709
968.305,456.457,844688811997
970.195,462.31,844688842052
971.655,467.58,844688872398
949.674,466.438,844688902455
930.959,465.595,844688932608
914.905,464.453,844688962664
900.752,464.307,844688992816
889.031,464.262,844689023162
879.783,463.951,844689053237
842.273,463.101,844689083487
797.483,460.85,844689113640
762.241,458.819,844689143802
737.071,457.192,844689173857
719.417,456.221,844689204203
707.55,454.976,844689234550
700.047,455.044,844689264799
697.242,455.567,844689294952
704.958,470.065,844689325201
717.504,507.44,844689355538
